village_id,candidate_minigrids,existing_minigrids,facilities,grid_extension,existing_grid,distance_to_grid,mean_ndvi,mean_wind_speed,mean_pvout_solar_radiation,total_population,mean_biomass,building_count,permanent_building_count,educational_facilities,health_facilities,social_facilities,services,primary_roads,secondary_roads,tertiary_roads,unclassified_roads,percentage_crop_land,percentage_built_area,contains_protected_area,protected_area_name,electrification_strategy
5503005,0,0,0,0,0,5939.468504688645,0.0,0.0,1665.29638671875,195.0987548828125,2.6746131844688983,67,12,0,0,0,0,0,0,0,0,25.01666666666667,0.2066666666666666,True,Aram Forest Reserve,Solar home system
5503006,0,0,0,0,0,4849.757000417125,0.0,0.0,1671.4143880208333,280.837646484375,2.0238402335206276,73,11,0,0,0,0,0,0,0,0,21.08,0.255,False,,Solar home system
5503007,0,0,0,1,0,3797.6328839690423,0.0,0.0,1672.3580729166667,80.14171600341797,2.1260482368119265,27,8,0,0,0,0,0,0,0,0,10.23,0.37,False,,Grid extension
5503008,0,0,2,0,0,3567.2778098963113,0.38506510853767395,1.4188129285682278,1668.7795516304348,748.4898681640625,2.544356897403857,248,48,0,2,0,0,0,0,0,1,18.790000000000003,0.3075,True,Paonyeme Forest Reserve,Solar home system
5503009,0,0,0,0,0,2411.6103211071677,0.0,0.0,1669.484765625,359.8286437988281,2.6515892006999326,104,14,0,0,0,0,0,0,0,1,21.42,0.465,True,Paonyeme Forest Reserve,Solar home system
5503010,0,0,0,1,0,2697.6639602089135,0.0,0.0,1671.7493489583333,284.7214660644531,2.121618543675816,92,15,0,0,0,0,0,0,0,0,21.96333333333333,0.2366666666666666,False,,Grid extension
5503011,0,0,0,1,0,2579.6181729192854,0.0,0.0,1672.844970703125,327.2469482421875,2.1133715220701994,138,30,0,0,0,0,0,0,0,1,14.1525,0.6325,False,,Grid extension
5503012,0,0,0,1,0,5632.137673229662,0.0,0.0,1672.3722426470588,543.2601928710938,2.0099665395190858,227,27,0,0,0,0,0,0,0,0,27.703333333333333,0.635,False,,Grid extension
5503013,0,0,0,0,0,5804.48134744053,0.0,0.0,1673.4541015625,7.6266021728515625,2.1162820298877505,3,1,0,0,0,0,0,0,0,0,25.23,0.01,False,,Solar home system
5503014,0,0,0,0,0,975.1592497887663,0.0,0.0,1668.4620361328125,362.67083740234375,1.795467862215909,157,41,0,0,0,0,0,0,0,0,24.075,21.36,False,,Solar home system
5503015,0,0,0,0,0,1362.3673807600014,0.0,0.0,0.0,285.2509765625,1.718694397292212,115,29,0,0,0,0,0,0,0,0,31.60333333333333,12.5575,False,,Solar home system
5503016,0,0,0,0,0,495.53563299276465,0.0,0.0,1669.1925048828125,538.3313598632812,1.8250697444708095,232,81,0,0,0,0,0,0,0,0,12.675,20.2725,True,Padibe Forest Reserve,Solar home system
5503017,0,0,0,1,0,1696.4048299465833,0.0,0.0,0.0,136.72720336914062,1.780643093970514,56,24,0,0,0,0,0,0,0,0,41.025000000000006,9.755,False,,Grid extension
5503018,0,0,0,1,0,2281.561886154998,0.0,0.0,1665.4182942708333,500.90673828125,1.859433870789007,198,56,0,0,0,0,0,0,0,0,27.465000000000003,8.715000000000002,False,,Grid extension
